PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 4154
Apogee: 1884' AGL
Ground Elevation: -336' MSL
NumSamps: 1960
Flight Number: 3
Main Setting: 400' AGL
Apogee Delay: 1 Seconds
Drogue At: 12.00 Seconds
Main At: 47.10 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 1 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
17.20, 1569, -68, 48.74, 9.30
17.25, 1568, -69, 48.70, 9.30
17.30, 1561, -69, 48.72, 9.30
17.35, 1557, -69, 48.70, 9.30
17.40, 1553, -69, 48.70, 9.30
17.45, 1551, -69, 48.72, 9.30
17.50, 1548, -68, 48.72, 9.30
17.55, 1545, -66, 48.72, 9.30
17.60, 1544, -64, 48.72, 9.30
17.65, 1541, -62, 48.72, 9.30
17.70, 1539, -62, 48.70, 9.30
17.75, 1534, -62, 48.70, 9.30
17.80, 1528, -63, 48.70, 9.30
17.85, 1524, -64, 48.70, 9.30
17.90, 1522, -66, 48.70, 9.30
17.95, 1519, -68, 48.70, 9.30
18.00, 1516, -69, 48.70, 9.30
18.05, 1513, -70, 48.70, 9.30
18.10, 1508, -69, 48.70, 9.30
18.15, 1503, -68, 48.70, 9.30
18.20, 1501, -67, 48.72, 9.30
18.25, 1498, -67, 48.70, 9.30
18.30, 1495, -67, 48.70, 9.30
18.35, 1491, -66, 48.70, 9.30
18.40, 1488, -65, 48.70, 9.30
18.45, 1484, -64, 48.70, 9.30
18.50, 1481, -63, 48.70, 9.30
18.55, 1481, -62, 48.70, 9.30
18.60, 1483, -62, 48.70, 9.30
18.65, 1480, -62, 48.70, 9.30
18.70, 1475, -62, 48.69, 9.30
18.75, 1469, -62, 48.69, 9.30
18.80, 1465, -61, 48.69, 9.30
18.85, 1461, -61, 48.70, 9.30
18.90, 1458, -61, 48.69, 9.30
18.95, 1454, -61, 48.69, 9.30
19.00, 1451, -61, 48.69, 9.30
19.05, 1448, -61, 48.69, 9.30
19.10, 1445, -61, 48.69, 9.30
19.15, 1440, -61, 48.69, 9.30
19.20, 1435, -62, 48.69, 9.30
19.25, 1429, -62, 48.69, 9.30
19.30, 1428, -63, 48.69, 9.30
19.35, 1424, -63, 48.69, 9.30
19.40, 1425, -63, 48.69, 9.30
19.45, 1427, -63, 48.69, 9.30
19.50, 1427, -63, 48.69, 9.30
19.55, 1424, -62, 48.69, 9.30
19.60, 1419, -62, 48.69, 9.30
19.65, 1415, -60, 48.69, 9.30
19.70, 1413, -59, 48.69, 9.30
19.75, 1410, -58, 48.69, 9.30
19.80, 1408, -57, 48.69, 9.30
19.85, 1404, -57, 48.69, 9.30
19.90, 1398, -57, 48.69, 9.30
19.95, 1397, -56, 48.67, 9.30
20.00, 1393, -56, 48.67, 9.30
20.05, 1389, -56, 48.67, 9.30
20.10, 1386, -55, 48.65, 9.30
20.15, 1380, -54, 48.65, 9.30
20.20, 1376, -54, 48.65, 9.30
20.25, 1371, -55, 48.65, 9.30
20.30, 1366, -55, 48.67, 9.30
20.35, 1364, -56, 48.65, 9.30
20.40, 1362, -58, 48.65, 9.30
20.45, 1360, -59, 48.65, 9.30
20.50, 1359, -60, 48.65, 9.30
20.55, 1359, -61, 48.65, 9.30
20.60, 1363, -62, 48.65, 9.30
20.65, 1359, -62, 48.65, 9.30
20.70, 1359, -63, 48.63, 9.30
20.75, 1353, -64, 48.65, 9.30
20.80, 1351, -64, 48.65, 9.30
20.85, 1349, -64, 48.65, 9.30
20.90, 1344, -64, 48.65, 9.30
20.95, 1339, -63, 48.65, 9.30
21.00, 1337, -63, 48.65, 9.30
21.05, 1343, -62, 48.65, 9.30
21.10, 1335, -61, 48.63, 9.30
21.15, 1328, -60, 48.63, 9.30
21.20, 1324, -60, 48.61, 9.30
21.25, 1320, -59, 48.63, 9.30
21.30, 1317, -58, 48.61, 9.30
21.35, 1313, -58, 48.61, 9.30
21.40, 1310, -58, 48.61, 9.30
21.45, 1308, -58, 48.61, 9.30
21.50, 1305, -59, 48.60, 9.30
21.55, 1299, -61, 48.58, 9.30
21.60, 1294, -62, 48.61, 9.30
21.65, 1291, -63, 48.60, 9.30
21.70, 1286, -62, 48.60, 9.30
21.75, 1282, -61, 48.58, 9.30
21.80, 1276, -60, 48.61, 9.30
21.85, 1274, -58, 48.61, 9.30
21.90, 1272, -57, 48.60, 9.30
21.95, 1271, -57, 48.58, 9.30
22.00, 1270, -58, 48.58, 9.30
22.05, 1265, -58, 48.58, 9.30
22.10, 1262, -58, 48.60, 9.30
22.15, 1260, -59, 48.58, 9.30
22.20, 1256, -59, 48.58, 9.30
22.25, 1254, -60, 48.58, 9.30
22.30, 1253, -60, 48.58, 9.30
22.35, 1250, -61, 48.60, 9.30
22.40, 1248, -62, 48.58, 9.30
22.45, 1245, -63, 48.58, 9.30
22.50, 1241, -63, 48.58, 9.30
22.55, 1239, -63, 48.58, 9.30
22.60, 1234, -63, 48.58, 9.30
22.65, 1234, -63, 48.58, 9.40
22.70, 1233, -62, 48.58, 9.30
22.75, 1237, -61, 48.58, 9.30
22.80, 1235, -60, 48.58, 9.30
22.85, 1235, -59, 48.58, 9.40
22.90, 1231, -58, 48.58, 9.30
22.95, 1226, -58, 48.58, 9.30
23.00, 1223, -58, 48.58, 9.40
23.05, 1220, -58, 48.58, 9.30
23.10, 1218, -58, 48.58, 9.30
23.15, 1211, -58, 48.58, 9.30
23.20, 1201, -59, 48.56, 9.40
23.25, 1199, -59, 48.56, 9.40
23.30, 1195, -60, 48.54, 9.40
23.35, 1189, -60, 48.56, 9.40
23.40, 1184, -61, 48.54, 9.40
23.45, 1181, -61, 48.54, 9.40
23.50, 1177, -61, 48.54, 9.40
23.55, 1171, -62, 48.54, 9.30
23.60, 1166, -63, 48.54, 9.30
23.65, 1164, -64, 48.54, 9.40
23.70, 1163, -66, 48.54, 9.40
23.75, 1164, -68, 48.52, 9.40
23.80, 1160, -68, 48.54, 9.40
23.85, 1158, -68, 48.52, 9.40
23.90, 1154, -67, 48.54, 9.40
23.95, 1161, -66, 48.51, 9.40
24.00, 1156, -65, 48.54, 9.40
24.05, 1147, -65, 48.52, 9.40
24.10, 1146, -64, 48.51, 9.40
24.15, 1144, -63, 48.51, 9.40
24.20, 1139, -63, 48.51, 9.40
24.25, 1136, -62, 48.51, 9.40
24.30, 1132, -62, 48.51, 9.40
24.35, 1129, -61, 48.51, 9.40
24.40, 1126, -61, 48.51, 9.40
24.45, 1124, -61, 48.49, 9.40
24.50, 1119, -60, 48.51, 9.40
24.55, 1115, -60, 48.49, 9.40
24.60, 1109, -60, 48.49, 9.40
24.65, 1104, -60, 48.51, 9.40
24.70, 1101, -61, 48.49, 9.40
24.75, 1099, -63, 48.47, 9.40
24.80, 1100, -64, 48.51, 9.40
24.85, 1100, -65, 48.51, 9.40
24.90, 1096, -66, 48.51, 9.40
24.95, 1096, -67, 48.49, 9.40
25.00, 1098, -67, 48.47, 9.40
25.05, 1090, -67, 48.49, 9.40
25.10, 1085, -66, 48.47, 9.40
25.15, 1083, -66, 48.47, 9.40
25.20, 1077, -65, 48.47, 9.40
25.25, 1074, -64, 48.47, 9.40
25.30, 1070, -64, 48.47, 9.40
25.35, 1066, -63, 48.47, 9.40
25.40, 1061, -62, 48.47, 9.40
25.45, 1057, -62, 48.47, 9.40
25.50, 1055, -60, 48.45, 9.40
25.55, 1052, -59, 48.47, 9.40
25.60, 1049, -58, 48.43, 9.40
25.65, 1044, -57, 48.45, 9.40
25.70, 1039, -57, 48.43, 9.40
25.75, 1035, -58, 48.45, 9.40
25.80, 1032, -59, 48.43, 9.40
25.85, 1028, -60, 48.43, 9.40
25.90, 1026, -61, 48.43, 9.40
25.95, 1021, -62, 48.43, 9.40
26.00, 1019, -62, 48.43, 9.40
26.05, 1016, -62, 48.43, 9.40
26.10, 1014, -62, 48.43, 9.40
26.15, 1014, -62, 48.43, 9.40
26.20, 1012, -62, 48.42, 9.40
26.25, 1006, -62, 48.43, 9.40
26.30, 1007, -62, 48.42, 9.40
26.35, 1004, -62, 48.42, 9.40
26.40, 1002, -62, 48.43, 9.40
26.45, 1001, -62, 48.43, 9.40
26.50, 999, -62, 48.43, 9.40
26.55, 998, -62, 48.42, 9.40
26.60, 995, -62, 48.43, 9.40
26.65, 990, -61, 48.43, 9.40
26.70, 988, -60, 48.43, 9.40
26.75, 984, -60, 48.43, 9.40
26.80, 982, -59, 48.43, 9.40
26.85, 979, -58, 48.43, 9.40
26.90, 976, -57, 48.42, 9.40
26.95, 972, -56, 48.43, 9.40
27.00, 968, -54, 48.43, 9.40
27.05, 965, -54, 48.43, 9.40
27.10, 962, -54, 48.42, 9.40
27.15, 958, -56, 48.43, 9.40
27.20, 954, -57, 48.43, 9.40
27.25, 950, -58, 48.43, 9.40
27.30, 946, -59, 48.43, 9.40
27.35, 941, -60, 48.43, 9.40
27.40, 937, -61, 48.43, 9.40
27.45, 932, -62, 48.43, 9.40
27.50, 928, -63, 48.43, 9.40
27.55, 927, -63, 48.43, 9.40
27.60, 924, -63, 48.43, 9.40
27.65, 922, -62, 48.43, 9.40
27.70, 921, -62, 48.43, 9.40
27.75, 917, -61, 48.43, 9.40
27.80, 913, -61, 48.43, 9.40
27.85, 912, -61, 48.43, 9.40
27.90, 910, -61, 48.42, 9.40
27.95, 917, -61, 48.42, 9.40
28.00, 920, -61, 48.42, 9.40
28.05, 909, -60, 48.42, 9.40
28.10, 904, -59, 48.42, 9.40
28.15, 898, -58, 48.42, 9.40
28.20, 893, -56, 48.42, 9.40
28.25, 892, -55, 48.42, 9.40
28.30, 887, -55, 48.42, 9.40
28.35, 884, -55, 48.40, 9.40
28.40, 878, -55, 48.40, 9.40
28.45, 876, -55, 48.42, 9.40
28.50, 873, -55, 48.38, 9.40
28.55, 870, -56, 48.40, 9.40
28.60, 869, -56, 48.38, 9.40
28.65, 869, -56, 48.38, 9.40
28.70, 866, -56, 48.40, 9.40
28.75, 862, -55, 48.40, 9.40
28.80, 861, -55, 48.38, 9.40
28.85, 857, -56, 48.38, 9.40
28.90, 852, -57, 48.38, 9.40
28.95, 849, -58, 48.36, 9.40
29.00, 847, -59, 48.38, 9.40
29.05, 845, -59, 48.36, 9.40
29.10, 842, -59, 48.38, 9.40
29.15, 849, -59, 48.36, 9.40
29.20, 848, -59, 48.34, 9.40
29.25, 835, -59, 48.36, 9.40
29.30, 832, -59, 48.36, 9.40
29.35, 831, -59, 48.36, 9.40
29.40, 826, -59, 48.34, 9.40
29.45, 820, -59, 48.34, 9.40
29.50, 816, -59, 48.34, 9.40
29.55, 815, -59, 48.34, 9.40
29.60, 814, -59, 48.33, 9.40
29.65, 809, -59, 48.34, 9.40
29.70, 808, -59, 48.34, 9.40
29.75, 808, -58, 48.34, 9.40
29.80, 807, -58, 48.34, 9.40
29.85, 802, -57, 48.34, 9.40
29.90, 800, -56, 48.34, 9.40
29.95, 799, -55, 48.33, 9.40
30.00, 796, -55, 48.34, 9.40
30.05, 791, -56, 48.34, 9.40
30.10, 784, -56, 48.34, 9.40
30.15, 780, -57, 48.31, 9.40
30.20, 776, -58, 48.33, 9.40
30.25, 772, -57, 48.33, 9.40
30.30, 767, -57, 48.33, 9.40
30.35, 762, -56, 48.34, 9.40
30.40, 759, -55, 48.34, 9.40
30.45, 759, -54, 48.33, 9.40
30.50, 758, -52, 48.33, 9.40
30.55, 754, -50, 48.34, 9.40
30.60, 753, -50, 48.34, 9.40
30.65, 749, -50, 48.33, 9.40
30.70, 750, -51, 48.34, 9.40
30.75, 747, -53, 48.33, 9.40
30.80, 747, -54, 48.33, 9.40
30.85, 744, -55, 48.33, 9.40
30.90, 742, -56, 48.33, 9.40
30.95, 739, -56, 48.33, 9.40
31.00, 739, -57, 48.31, 9.40
31.05, 736, -57, 48.31, 9.40
31.10, 735, -56, 48.31, 9.40
31.15, 728, -56, 48.31, 9.40
31.20, 724, -55, 48.31, 9.40
31.25, 727, -55, 48.31, 9.40
31.30, 719, -54, 48.31, 9.40
31.35, 716, -54, 48.31, 9.40
31.40, 712, -54, 48.31, 9.40
31.45, 716, -54, 48.31, 9.40
31.50, 721, -53, 48.31, 9.40
31.55, 720, -53, 48.31, 9.40
31.60, 714, -53, 48.31, 9.40
31.65, 709, -53, 48.31, 9.40
31.70, 703, -53, 48.31, 9.40
31.75, 699, -54, 48.31, 9.40
31.80, 698, -54, 48.31, 9.40
31.85, 690, -54, 48.31, 9.40
31.90, 688, -54, 48.31, 9.40
31.95, 682, -54, 48.31, 9.40
32.00, 680, -55, 48.31, 9.40
32.05, 677, -55, 48.29, 9.40
32.10, 671, -56, 48.31, 9.40
32.15, 668, -56, 48.31, 9.40
32.20, 665, -57, 48.27, 9.40
