PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 3971
Apogee: 1883' AGL
Ground Elevation: -344' MSL
NumSamps: 920
Flight Number: 3
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.95 Seconds
Main At: 35.15 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 3 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
9.45, 1834, 58, 46.60, 9.40
9.50, 1836, 56, 46.60, 9.40
9.55, 1840, 53, 46.58, 9.40
9.60, 1842, 52, 46.60, 9.40
9.65, 1844, 50, 46.60, 9.40
9.70, 1847, 49, 46.60, 9.40
9.75, 1849, 48, 46.62, 9.40
9.80, 1852, 47, 46.62, 9.40
9.85, 1854, 46, 46.60, 9.40
9.90, 1856, 43, 46.60, 9.40
9.95, 1859, 41, 46.60, 9.40
10.00, 1860, 38, 46.60, 9.40
10.05, 1862, 35, 46.60, 9.40
10.10, 1864, 33, 46.60, 9.40
10.15, 1864, 32, 46.60, 9.40
10.20, 1867, 31, 46.58, 9.40
10.25, 1867, 31, 46.60, 9.40
10.30, 1871, 31, 46.58, 9.40
10.35, 1871, 29, 46.58, 9.40
10.40, 1873, 27, 46.58, 9.40
10.45, 1873, 24, 46.60, 9.40
10.50, 1875, 22, 46.60, 9.40
10.55, 1877, 19, 46.58, 9.40
10.60, 1876, 18, 46.58, 9.40
10.65, 1877, 16, 46.60, 9.40
10.70, 1878, 15, 46.60, 9.40
10.75, 1880, 7, 46.58, 9.40
10.80, 1879, -2, 46.60, 9.40
10.85, 1880, -10, 46.60, 9.40
10.90, 1880, -19, 46.58, 9.40
10.95, 1882, -13, 46.58, 9.40
11.00, 1853, 1, 46.58, 7.20
11.05, 1881, 15, 46.58, 6.50
11.10, 1882, 29, 46.58, 5.80
11.15, 1882, 36, 46.58, 5.90
11.20, 1884, 28, 46.58, 5.70
11.25, 1883, 21, 46.58, 5.70
11.30, 1883, 13, 46.58, 5.50
11.35, 1884, 4, 46.58, 5.40
11.40, 1884, 3, 46.58, 7.50
11.45, 1884, 1, 46.58, 6.40
11.50, 1884, -1, 46.58, 6.80
11.55, 1884, -3, 46.58, 6.50
11.60, 1884, -6, 46.58, 6.30
11.65, 1883, -8, 46.58, 5.90
11.70, 1882, -9, 46.58, 5.50
11.75, 1882, -12, 46.58, 5.30
11.80, 1882, -16, 46.56, 5.30
11.85, 1881, -20, 46.56, 5.10
11.90, 1880, -25, 46.56, 5.00
11.95, 1881, -26, 46.53, 4.70
12.00, 1869, -23, 46.56, 8.90
12.05, 1875, -18, 46.58, 9.00
12.10, 1875, -16, 46.56, 9.00
12.15, 1876, -16, 46.56, 9.00
12.20, 1874, -22, 46.56, 9.10
12.25, 1875, -30, 46.56, 9.10
12.30, 1872, -33, 46.56, 9.10
12.35, 1872, -36, 46.56, 9.10
12.40, 1869, -37, 46.56, 9.10
12.45, 1866, -37, 46.56, 9.10
12.50, 1865, -40, 46.56, 9.20
12.55, 1865, -41, 46.56, 9.20
12.60, 1862, -42, 46.56, 9.20
12.65, 1860, -43, 46.56, 9.20
12.70, 1857, -44, 46.56, 9.20
12.75, 1857, -44, 46.56, 9.20
12.80, 1854, -45, 46.56, 9.20
12.85, 1853, -45, 46.56, 9.20
12.90, 1859, -46, 46.56, 9.20
12.95, 1866, -46, 46.56, 9.20
13.00, 1873, -46, 46.56, 9.20
13.05, 1871, -47, 46.56, 9.20
13.10, 1858, -48, 46.56, 9.20
13.15, 1845, -49, 46.56, 9.20
13.20, 1836, -50, 46.56, 9.20
13.25, 1830, -50, 46.56, 9.20
13.30, 1824, -51, 46.56, 9.20
13.35, 1817, -52, 46.53, 9.20
